Designator,Mid X,Mid Y,Rotation,Layer
D1,111.9203,-69.0576,90.0,top
D10,188.1203,-88.1076,90.0,top
D11,111.9203,-107.1576,90.0,top
D12,130.9703,-102.3951,90.0,top
D13,150.0203,-97.6326,90.0,top
D14,169.0703,-102.3951,90.0,top
D15,188.1203,-107.1576,90.0,top
D16,92.8703,-130.9701,90.0,top
D17,111.9203,-126.2076,90.0,top
D18,130.9703,-121.4451,90.0,top
D2,130.9703,-64.2951,90.0,top
D3,150.0203,-59.5326,90.0,top
D4,169.0703,-64.2951,90.0,top
D5,188.1203,-69.0576,90.0,top
D6,111.9203,-88.1076,90.0,top
D7,130.9703,-83.3451,90.0,top
D8,150.0203,-78.5826,90.0,top
D9,169.0703,-83.3451,90.0,top
S1,102.3953,-66.8926,0.0,top
S10,178.5953,-85.9426,0.0,top
S11,102.3953,-104.9926,0.0,top
S12,121.4453,-100.2301,0.0,top
S13,140.4953,-95.4676,0.0,top
S14,159.5453,-100.2301,0.0,top
S15,178.5953,-104.9926,0.0,top
S16,83.3453,-128.8051,0.0,top
S17,102.3953,-124.0426,0.0,top
S18,121.4453,-119.2801,0.0,top
S2,121.4453,-62.1301,0.0,top
S3,140.4953,-57.3676,0.0,top
S4,159.5453,-62.1301,0.0,top
S5,178.5953,-66.8926,0.0,top
S6,102.3953,-85.9426,0.0,top
S7,121.4453,-81.1801,0.0,top
S8,140.4953,-76.4176,0.0,top
S9,159.5453,-81.1801,0.0,top
SW2,83.3081,-113.11175,90.0,top
U1,82.86905,-82.3926,0.0,top
